mirna,earlyOA24,earlyOA28,earlyOA29,earlyOA30,earlyOA31,earlyOA63,earlyOA64,earlyOA76,earlyOA78,earlyOA87,earlyOA100,earlyOA101,earlyOA103,earlyOA107,earlyOA115,earlyOA138,earlyOA156,earlyOA19,earlyOA88,earlyOA93,earlyOA150,earlyOA161,earlyOA46,earlyOA50,earlyOA112,earlyOA115W,earlyOA116,earlyOA121,earlyOA53R,earlyOA54R,earlyOA56R,earlyOA58R,earlyOA168,earlyOA102,earlyOA109,earlyOA124,earlyOA145,earlyOA149,earlyOA151,earlyOA77,earlyOA98,lateOA100,lateOA111,lateOA25,lateOA273,lateOA342,lateOA44,lateOA476,lateOA93,lateOA259,lateOA275,lateOA280,lateOA305,lateOA370,lateOA40,lateOA411,lateOA419,lateOA506,lateOA69,lateOA77,lateOA97,lateOA121,lateOA141,lateOA249,lateOA251,lateOA341,lateOA425,lateOA48,lateOA65,lateOA1009,lateOA1057R,lateOA105R,lateOA138R,lateOA316R,lateOA675,lateOA854,lateOA903,lateOA904,lateOA927,lateOA968,lateOA998,lateOA1033,lateOA1068,lateOA1140,lateOA748,lateOA754,lateOA779,lateOA784,lateOA825,lateOA875,lateOA929
hsa-let-7e-5p,725,2317,179,1380,6536,249,2210,241,655,578,703,589,304,1911,5943,377,866,272,594,676,12665,1204,833,191,3245,5271,1551,175,765,1233,5889,6894,10338,10234,403,8697,652,2212,145,1879,1886,195,119,133,313,306,307,196,162,154,333,315,368,122,306,379,403,176,205,284,135,241,185,172,154,134,296,668,294,150,213,176,346,316,144,157,114,238,86,71,225,120,150,254,332,292,90,331,142,77,186
hsa-let-7f-1-3p,9,4,7,11,21,2,7,1,11,8,4,8,4,7,18,6,8,7,8,8,8,4,8,5,11,8,7,2,5,3,24,11,12,18,2,20,1,7,0,1,3,7,2,9,3,10,4,1,5,3,8,9,8,3,4,4,11,6,4,4,6,7,2,4,3,7,12,6,21,5,7,2,5,9,7,1,7,8,7,3,1,4,0,4,3,8,0,9,4,1,8
hsa-let-7f-2-3p,0,3,0,1,1,0,0,2,0,0,1,0,0,1,0,0,1,2,0,0,0,2,1,0,0,1,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,2,0,2,2,1,2,0,0,0,0,2,0,0,0,1,2,2,1,0,0,0,0,1,2,0,2,1,8,1,0,0,3,0,2,0,3,0,0,1,3,1,2,0,0,1,0,1,0,1,0
hsa-let-7f-5p,61875,91580,32801,90205,156532,19486,42618,14481,46126,76928,65019,37373,25892,149902,354434,20141,96359,70209,49038,63758,394499,86968,39597,14122,99091,64263,56504,10007,37730,34840,285543,161293,414734,289228,16877,338512,29990,51546,6672,32988,59345,36792,15197,47130,26850,29755,27472,22679,15106,23880,106408,61396,37094,24975,43284,34184,52035,17508,24013,33714,26016,30846,28752,17378,12724,14500,52179,43500,121736,9021,41102,15924,68586,52374,42936,26554,28415,57465,8900,10367,52651,23071,33265,29165,50972,41330,15806,51152,32438,15342,36470
hsa-let-7g-3p,1,10,4,2,2,1,1,2,0,6,3,4,4,4,2,1,4,7,0,1,7,2,6,0,0,3,0,1,4,2,6,3,4,2,0,0,0,1,0,0,0,1,2,2,1,1,2,1,0,0,5,8,0,1,3,3,8,1,3,6,2,2,0,2,1,0,3,3,10,0,6,1,11,6,4,2,2,8,4,1,2,1,3,2,1,6,2,2,3,4,4
hsa-let-7g-5p,10450,17493,15458,16836,24980,6215,8138,4104,9396,17633,17439,11898,9806,20253,24501,8319,21519,30895,16042,14464,34787,24378,11086,4539,10782,9083,7024,1660,6594,6600,28280,20937,38461,23924,1936,29456,3742,4524,1805,3170,5728,15415,6093,24874,13053,15605,13050,8689,5770,9402,28323,23663,11052,3725,15930,14163,22200,7826,10950,12144,11570,16641,12191,7492,6730,6823,24903,14998,56110,4013,13934,5210,20414,18300,18058,10537,11760,18162,2583,4087,16395,9175,12612,6403,15345,15196,1887,16225,10778,5560,13231
hsa-let-7i-3p,11,46,20,19,16,2,11,4,3,32,14,27,16,14,32,29,19,43,13,21,74,24,15,12,6,5,5,1,17,12,51,77,90,8,1,8,3,7,2,1,4,10,10,23,37,16,28,23,5,6,55,31,11,18,9,25,55,7,17,16,21,25,7,17,7,10,50,20,87,11,29,7,42,37,20,16,18,39,2,10,21,18,15,6,30,32,6,33,12,5,23
hsa-let-7i-5p,45793,55512,38374,63004,166133,15660,33304,11428,39067,65669,51172,34644,26500,81599,150084,21727,65494,81559,51642,44439,227800,69597,40513,15739,52984,80401,45998,10621,29833,32666,191512,138508,226453,181727,12400,255281,16654,38803,6155,18436,44806,39817,12471,58199,37078,37004,30510,26308,12281,22095,96605,88259,39460,23508,39879,39628,70077,22541,26484,38292,29346,42734,38807,18019,18434,18089,66936,42683,139621,12215,48025,24518,74379,56637,51794,27365,32657,64074,9993,14044,51307,30788,36512,25472,55161,43933,26118,52225,28440,18236,39746
hsa-miR-100-3p,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-100-5p,122,347,108,63,70,63,200,39,52,76,137,106,54,185,207,173,324,97,99,123,109,96,116,61,38,95,9,34,108,52,162,71,81,157,55,75,10,31,44,60,36,134,80,294,456,62,162,77,30,94,685,140,56,99,36,86,194,42,148,128,59,86,27,35,56,39,223,85,168,85,197,91,246,479,119,192,37,184,54,23,159,42,65,65,151,141,91,256,51,142,135
hsa-miR-101-2-5p,1,1,3,1,0,0,1,0,1,1,1,0,1,4,0,2,0,1,0,1,3,0,0,0,0,1,1,0,0,3,2,3,1,2,0,2,0,0,0,0,0,4,0,2,3,1,0,0,0,1,2,2,0,0,1,3,6,0,0,0,1,2,2,0,1,0,1,0,7,0,1,2,7,2,0,0,0,4,0,1,4,1,0,1,1,1,0,3,0,0,4
hsa-miR-101-3p,9912,25515,14973,12579,13711,5155,9075,4675,7164,20422,14650,11393,12809,15459,19795,10917,16390,35215,12419,13434,26784,16081,8962,5312,7298,10382,7840,4680,7926,6921,28979,30879,35734,16607,3102,11528,1775,3205,2858,3117,2502,13779,5482,21440,21936,11319,13480,8990,2594,7543,25497,27397,9818,11208,11033,17799,37604,7771,9440,12070,9505,21190,12490,9384,7573,8810,34531,13787,77818,6256,21445,8560,33279,25346,18381,11625,11255,30658,4148,6641,15944,13061,12623,6899,24605,18923,6015,19590,11494,9360,21806
hsa-miR-101-5p,0,0,0,0,1,1,0,0,1,0,0,0,2,0,2,2,3,4,0,0,1,3,1,0,0,1,0,0,3,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,3,3,1,0,0,2,0,1,1,0,1,2,0,2,0,0,0,7,0,4,2,2,0,1,0,0,4,0,0,0,2,1,0,2,1,1,0,1,0,1
hsa-miR-10226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10392-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10392-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10393-3p,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10393-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
hsa-miR-10394-3p,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10394-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10395-3p,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
hsa-miR-10395-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10396a-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10396a-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10396b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10396b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10397-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10397-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
hsa-miR-10398-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10398-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
hsa-miR-10399-3p,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
hsa-miR-10399-5p,9,5,4,4,13,0,2,0,5,3,3,2,1,4,12,3,2,4,3,5,7,3,1,0,4,2,5,0,0,2,16,8,10,28,3,14,0,2,0,3,7,3,0,1,1,2,2,1,1,0,5,2,1,1,2,1,6,1,0,1,0,7,0,1,0,1,10,1,4,2,6,0,5,4,7,2,2,0,0,0,0,1,0,1,4,5,2,2,2,0,4
hsa-miR-103a-1-5p,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
hsa-miR-103a-2-5p,3,2,3,3,9,1,2,0,3,0,0,0,2,1,6,1,0,2,2,0,3,2,1,0,1,0,0,0,0,0,2,1,7,1,0,3,0,1,0,0,1,3,0,1,1,3,1,0,0,0,2,0,0,0,0,1,2,0,0,0,0,1,1,0,2,0,1,0,2,0,3,0,0,1,5,1,2,2,2,0,1,0,0,1,2,1,0,2,1,0,1
hsa-miR-103a-3p,31938,41362,21895,38231,114380,7922,31108,5220,23693,30481,17488,16131,14633,38759,96635,8160,22080,33761,20852,22164,97358,23936,10977,4088,6500,12194,7675,2635,6936,8301,84101,61366,143093,21506,1637,66964,4805,8920,1710,6410,11566,11610,5709,16756,13354,9971,9953,9193,2396,7922,27463,19209,7767,6550,11172,13340,21620,4268,7428,9589,7871,21133,8393,6401,4679,6246,32013,12047,59791,3946,15960,8100,25583,25109,19234,10536,10600,36342,2220,3445,18778,10922,7637,6988,14772,16673,5967,14755,10811,7651,17991
hsa-miR-103b,9602,15902,11248,11078,25429,3174,8628,2324,6837,10501,8839,6986,5845,12682,27933,3777,9522,17753,9076,8461,28527,9784,6132,2452,2943,4429,3261,2314,3665,4496,26568,21716,43125,7342,1077,15856,1797,2909,1104,3332,4032,6134,2781,9315,6707,5688,5299,5170,1236,3789,12795,9366,4240,4120,5881,8542,14738,2528,4263,5814,4189,10592,5699,3788,3081,3942,14798,6737,30958,2574,8270,3400,14492,13835,9372,6202,5169,12619,1425,2111,8133,6583,4987,3716,7790,9147,3535,9257,5015,4638,7846
hsa-miR-10400-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10400-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10401-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10401-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10522-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10523-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10524-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10525-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10526-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
hsa-miR-10527-5p,26,20,32,32,60,5,36,9,16,12,24,8,15,24,38,10,25,37,28,18,46,37,14,16,22,34,16,2,13,23,69,45,71,122,7,110,9,14,5,14,49,19,13,53,25,30,27,19,11,11,44,44,19,13,26,19,50,13,19,22,26,26,23,8,10,7,30,29,69,11,37,13,34,33,54,28,15,26,10,11,29,22,25,29,32,21,20,21,20,7,34
hsa-miR-105-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-105-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-106a-3p,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-106a-5p,13,9,19,16,4,5,8,1,4,10,15,6,11,29,18,12,26,21,11,20,14,28,5,12,2,9,6,0,3,3,14,8,21,9,2,15,1,0,1,0,2,17,4,28,16,15,10,2,6,14,25,33,17,10,10,17,29,5,5,12,6,4,12,5,10,10,24,10,35,7,23,2,23,9,33,7,5,24,1,5,8,28,12,11,9,22,2,22,8,18,26
hsa-miR-106b-3p,573,756,624,723,1620,219,527,167,366,820,536,369,506,706,1005,308,688,1045,549,443,1779,753,443,188,818,283,364,71,292,346,1794,964,2338,2242,100,3216,71,183,76,60,212,503,193,829,712,576,499,415,135,265,1115,1173,310,315,461,560,1045,245,346,450,339,740,520,294,247,282,1342,436,2318,187,574,249,793,836,1002,392,297,1261,235,152,663,437,327,273,736,688,115,646,358,262,615
