mirna,GSM4654614_P1,GSM4654615_P2,GSM4654616_P3,GSM4654617_P4,GSM4654618_P5,GSM4654619_P6,GSM4654620_N1,GSM4654621_N2,GSM4654622_N3
hsa-miR-410-3p,3,8,11,7,22,0,7,0,1
hsa-miR-410-5p,0,0,3,0,0,0,0,0,0
hsa-miR-411-3p,28,16,31,16,43,5,9,9,14
hsa-miR-411-5p,12,43,33,12,53,6,4,15,32
hsa-miR-412-3p,0,0,0,0,0,0,0,1,0
hsa-miR-412-5p,1,5,4,8,4,3,3,7,13
hsa-miR-421,86,76,156,37,70,51,73,56,38
hsa-miR-422a,0,1,1,0,1,1,0,1,0
hsa-miR-423-3p,16801,10820,16228,10069,8845,16144,15843,11506,15924
hsa-miR-423-5p,180033,182950,240197,62375,60889,237575,171201,115637,156581
hsa-miR-424-3p,210,605,652,110,96,420,196,194,417
hsa-miR-424-5p,1,5,30,3,4,6,1,4,3
hsa-miR-425-3p,276,167,270,126,250,213,121,75,94
hsa-miR-425-5p,1434,1423,2566,598,705,2304,1456,1678,1514
hsa-miR-429,0,4,17,4,4,7,0,0,1
hsa-miR-431-3p,1,7,5,0,16,11,0,0,0
hsa-miR-431-5p,17,7,5,10,34,2,2,0,13
hsa-miR-432-3p,0,0,0,0,0,0,0,0,0
hsa-miR-432-5p,541,1274,1543,531,1620,280,330,432,1343
hsa-miR-433-3p,31,149,142,65,164,20,44,46,127
hsa-miR-433-5p,0,0,0,0,0,0,0,0,0
hsa-miR-448,0,0,0,0,0,0,0,0,0
hsa-miR-449a,0,4,0,0,0,0,0,0,0
hsa-miR-449b-3p,0,0,0,0,0,0,0,0,0
hsa-miR-449b-5p,0,0,0,0,0,0,0,0,0
hsa-miR-449c-3p,0,0,0,0,0,0,0,0,0
hsa-miR-449c-5p,0,15,0,2,1,0,0,0,0
hsa-miR-450a-1-3p,0,0,0,0,0,0,0,0,0
hsa-miR-450a-2-3p,0,6,0,0,1,7,0,4,1
hsa-miR-450a-5p,40,43,85,16,36,56,35,20,35
hsa-miR-450b-3p,0,0,0,0,0,0,0,0,0
hsa-miR-450b-5p,14,10,60,11,51,13,11,6,16
hsa-miR-451a,267594,524793,806640,79212,194128,415240,369729,250659,278862
hsa-miR-451b,0,0,1,0,0,0,0,0,0
hsa-miR-452-3p,0,0,0,0,0,0,0,0,0
hsa-miR-452-5p,4,11,21,13,15,8,0,7,0
hsa-miR-454-3p,18,3,8,1,4,22,11,14,4
hsa-miR-454-5p,55,14,28,15,23,40,20,0,29
hsa-miR-455-3p,0,5,0,0,0,0,0,0,0
hsa-miR-455-5p,22,109,60,31,20,15,17,23,6
hsa-miR-466,0,0,0,0,0,0,0,0,0
hsa-miR-483-3p,1,0,0,0,0,2,0,0,0
hsa-miR-483-5p,108,104,310,44,34,130,84,72,264
hsa-miR-484,2286,2141,3457,1243,921,3873,2566,2518,2314
hsa-miR-485-3p,5,0,3,14,3,2,1,45,47
hsa-miR-485-5p,171,271,344,134,185,64,86,138,380
hsa-miR-486-3p,2642,4757,6313,843,636,6623,7235,3862,4766
hsa-miR-486-5p,191938,421031,480834,77884,63233,501108,536529,350396,406751
hsa-miR-487a-3p,0,0,0,0,1,0,0,0,0
hsa-miR-487a-5p,5,14,5,8,13,0,1,0,0
hsa-miR-487b-3p,10,5,20,11,21,0,0,2,3
hsa-miR-487b-5p,1,2,7,0,0,0,0,3,0
hsa-miR-488-3p,0,0,0,0,0,0,0,0,0
hsa-miR-488-5p,0,0,0,0,0,0,0,0,0
hsa-miR-489-3p,0,3,0,0,0,0,0,0,0
hsa-miR-489-5p,0,0,0,0,0,0,0,0,0
hsa-miR-490-3p,1,0,0,7,0,0,0,0,0
hsa-miR-490-5p,0,0,0,0,0,0,0,0,0
hsa-miR-491-3p,0,0,0,0,0,0,0,0,0
hsa-miR-491-5p,0,0,0,0,5,0,0,1,0
hsa-miR-492,0,0,0,0,0,0,0,0,0
hsa-miR-493-3p,79,126,190,115,393,5,31,32,107
hsa-miR-493-5p,50,67,162,91,382,9,11,18,82
hsa-miR-494-3p,12,13,31,12,61,3,0,0,20
hsa-miR-494-5p,0,0,0,0,0,0,0,0,0
hsa-miR-495-3p,40,32,129,49,137,26,10,20,34
hsa-miR-495-5p,0,0,0,0,0,0,0,0,0
hsa-miR-496,0,0,4,1,0,0,0,0,0
hsa-miR-497-3p,0,0,0,0,0,0,0,0,0
hsa-miR-497-5p,4,0,0,0,2,0,0,0,2
hsa-miR-498,0,0,0,0,0,0,0,0,0
hsa-miR-499a-3p,0,0,0,0,0,0,0,0,0
hsa-miR-499a-5p,8,19,53,13,15,29,7,10,22
hsa-miR-499b-3p,0,0,0,0,0,0,0,0,0
hsa-miR-499b-5p,0,1,0,0,1,0,0,0,0
hsa-miR-500a-3p,18,44,103,22,23,53,65,24,21
hsa-miR-500a-5p,0,0,0,0,1,2,0,0,0
hsa-miR-500b-3p,0,2,0,1,0,5,0,0,10
hsa-miR-500b-5p,0,0,0,0,0,0,0,0,0
hsa-miR-501-3p,474,985,1514,256,215,1599,1224,788,875
hsa-miR-501-5p,8,1,2,2,3,3,12,0,0
hsa-miR-502-3p,30,86,145,25,24,70,54,63,37
hsa-miR-502-5p,0,0,0,0,0,0,0,0,0
hsa-miR-503-3p,0,0,0,0,0,0,0,0,0
hsa-miR-503-5p,89,77,288,30,42,163,68,92,66
hsa-miR-504-3p,0,0,0,0,0,0,0,0,0
hsa-miR-504-5p,3,7,32,7,4,18,21,4,3
hsa-miR-505-3p,18,3,0,12,22,28,6,16,17
hsa-miR-505-5p,88,194,217,50,36,281,249,192,253
hsa-miR-506-3p,4,1,0,3,2,0,0,3,0
hsa-miR-506-5p,0,0,0,0,0,0,0,0,0
hsa-miR-507,0,0,0,0,0,0,0,0,0
hsa-miR-508-3p,2,15,42,1,3,2,0,0,0
hsa-miR-508-5p,0,0,1,0,0,0,0,0,0
hsa-miR-509-3-5p,19,56,116,8,5,5,0,0,6
hsa-miR-509-3p,4,19,33,1,0,9,0,0,0
hsa-miR-509-5p,0,0,0,1,0,0,0,0,0
hsa-miR-510-3p,0,0,0,0,0,0,0,0,0
hsa-miR-510-5p,0,0,0,0,0,0,0,0,0
hsa-miR-511-3p,0,0,1,0,0,0,0,0,0
hsa-miR-511-5p,53,88,277,19,34,193,129,118,181
hsa-miR-512-3p,0,0,0,0,0,5,0,2,0
hsa-miR-512-5p,0,0,0,0,0,0,0,0,0
hsa-miR-513a-3p,0,3,0,0,0,0,0,0,0
hsa-miR-513a-5p,0,0,0,0,0,0,0,0,0
hsa-miR-513b-3p,0,0,0,0,0,0,0,0,0
hsa-miR-513b-5p,0,0,0,0,0,0,0,0,0
hsa-miR-513c-3p,0,1,0,0,0,0,0,0,0
hsa-miR-513c-5p,0,0,2,2,0,0,0,0,0
hsa-miR-514a-3p,3,0,2,1,4,0,3,0,11
hsa-miR-514a-5p,0,0,0,0,0,0,0,0,0
hsa-miR-514b-3p,0,0,0,0,0,0,0,0,0
hsa-miR-514b-5p,0,0,0,0,0,0,0,0,0
hsa-miR-515-3p,0,0,0,0,0,0,0,0,0
hsa-miR-515-5p,0,0,0,0,0,0,0,0,0
hsa-miR-516a-3p,0,0,0,0,0,0,0,0,0
hsa-miR-516a-5p,0,0,0,0,2,0,0,0,0
hsa-miR-516b-3p,0,0,0,0,0,0,0,0,0
hsa-miR-516b-5p,0,4,4,0,0,0,3,0,0
hsa-miR-517-5p,0,0,0,0,0,0,0,0,0
hsa-miR-517a-3p,0,0,0,0,0,0,0,0,0
hsa-miR-517b-3p,0,0,0,0,0,0,0,0,0
hsa-miR-517c-3p,0,0,0,0,0,0,0,0,0
hsa-miR-518a-3p,0,0,0,0,0,0,0,0,0
hsa-miR-518a-5p,0,0,0,0,0,0,0,0,0
hsa-miR-518b,0,0,2,0,0,0,0,0,0
hsa-miR-518c-3p,0,0,0,0,0,0,0,0,0
hsa-miR-518c-5p,0,0,0,0,3,0,0,0,0
hsa-miR-518d-3p,0,0,0,0,0,0,0,0,0
hsa-miR-518d-5p,0,0,0,0,0,0,0,0,0
hsa-miR-518e-3p,0,0,0,0,0,0,0,0,0
hsa-miR-518e-5p,0,0,0,0,0,0,0,0,0
hsa-miR-518f-3p,0,0,0,0,0,0,0,0,0
hsa-miR-518f-5p,0,0,0,0,0,0,0,0,0
hsa-miR-519a-3p,0,0,0,0,0,0,0,0,0
hsa-miR-519a-5p,0,0,0,0,0,0,0,0,0
hsa-miR-519b-3p,0,0,0,0,0,0,0,0,0
hsa-miR-519b-5p,0,0,0,0,0,0,0,0,0
hsa-miR-519c-3p,0,0,0,0,0,0,0,0,0
hsa-miR-519c-5p,0,0,0,0,0,0,0,0,0
hsa-miR-519d-3p,0,0,0,0,0,0,0,0,0
hsa-miR-519d-5p,0,0,0,0,0,0,0,0,0
hsa-miR-519e-3p,0,0,0,0,0,0,0,0,0
hsa-miR-519e-5p,0,0,0,0,0,0,0,0,0
hsa-miR-520a-3p,0,0,0,0,0,0,0,0,0
hsa-miR-520a-5p,0,0,0,0,0,0,0,0,0
hsa-miR-520b,0,0,0,0,0,0,0,0,0
hsa-miR-520c-3p,0,0,0,0,0,0,0,0,0
hsa-miR-520c-5p,0,0,0,0,0,0,0,0,0
hsa-miR-520d-3p,0,0,0,0,0,0,0,0,0
hsa-miR-520d-5p,0,0,0,0,0,0,0,0,0
hsa-miR-520e,0,0,0,0,0,0,0,0,0
hsa-miR-520f-3p,0,0,0,0,0,0,0,0,0
hsa-miR-520f-5p,0,0,0,0,0,0,0,0,0
hsa-miR-520g-3p,0,0,0,0,0,0,0,0,0
hsa-miR-520g-5p,0,0,0,0,0,0,0,0,0
hsa-miR-520h,0,0,0,0,0,0,0,0,0
hsa-miR-521,0,0,0,0,0,0,0,0,0
hsa-miR-522-3p,0,0,0,0,0,0,3,0,5
hsa-miR-522-5p,0,0,0,0,0,0,0,0,0
hsa-miR-523-3p,0,0,0,0,0,0,0,0,0
hsa-miR-523-5p,0,0,0,0,0,0,0,0,0
hsa-miR-524-3p,0,0,0,0,0,0,0,0,0
hsa-miR-524-5p,0,0,0,0,0,0,0,0,0
hsa-miR-525-3p,0,0,0,0,0,0,0,0,0
hsa-miR-525-5p,0,0,0,0,0,0,0,0,0
hsa-miR-526a,0,0,0,0,0,0,0,0,0
hsa-miR-526b-3p,0,0,0,0,0,0,0,0,0
hsa-miR-526b-5p,2,1,0,0,0,0,0,0,0
hsa-miR-527,0,0,0,0,0,0,0,0,0
hsa-miR-532-3p,11,12,44,7,5,41,20,25,13
hsa-miR-532-5p,4495,7742,11567,2162,2893,7941,7997,4233,5560
hsa-miR-539-3p,0,0,0,0,8,0,0,0,0
hsa-miR-539-5p,2,0,0,0,3,0,0,0,0
hsa-miR-541-3p,6,1,6,3,0,8,0,0,0
hsa-miR-541-5p,0,0,0,0,0,0,0,0,0
hsa-miR-542-3p,4,25,32,7,15,8,5,5,10
hsa-miR-542-5p,0,0,0,0,0,0,0,0,0
hsa-miR-543,864,558,1550,570,766,200,241,412,1100
hsa-miR-544a,0,0,0,0,0,0,0,0,0
hsa-miR-544b,0,0,0,0,6,0,0,0,0
hsa-miR-545-3p,0,0,2,0,0,0,0,0,0
hsa-miR-545-5p,0,0,0,0,0,0,0,0,0
hsa-miR-548a-3p,0,1,0,1,3,0,0,0,0
hsa-miR-548a-5p,0,0,0,0,0,0,0,0,0
hsa-miR-548aa,0,0,0,0,0,0,0,0,0
hsa-miR-548ab,0,0,0,0,0,0,0,0,0
hsa-miR-548ac,3,1,5,0,0,11,10,6,4
hsa-miR-548ad,0,0,0,0,0,0,0,0,0
hsa-miR-548ae,0,0,0,0,0,0,0,0,0
hsa-miR-548ag,0,0,0,0,2,0,0,0,0
hsa-miR-548ah-3p,5,2,3,0,14,0,0,4,10
hsa-miR-548ah-5p,0,0,0,0,0,0,0,0,0
hsa-miR-548ai,0,0,0,0,0,0,0,0,0
hsa-miR-548aj-3p,0,0,0,0,0,0,0,0,0
hsa-miR-548aj-5p,0,0,0,0,0,0,0,0,0
hsa-miR-548ak,0,0,0,0,0,0,0,0,0
hsa-miR-548al,0,0,4,0,0,0,0,0,0
hsa-miR-548am-3p,1,0,1,1,5,0,0,0,2
hsa-miR-548am-5p,0,0,0,0,0,0,0,0,0
hsa-miR-548an,0,0,0,0,0,0,0,0,0
hsa-miR-548ao-3p,0,0,0,0,0,0,0,0,0
hsa-miR-548ao-5p,0,0,0,0,0,0,0,0,0
hsa-miR-548ap-3p,0,0,0,0,0,0,0,0,0
hsa-miR-548ap-5p,0,0,0,0,0,0,0,0,0
hsa-miR-548aq-3p,0,0,3,0,0,0,0,0,0
hsa-miR-548aq-5p,0,0,0,0,0,0,0,0,0
hsa-miR-548ar-3p,0,0,0,0,0,0,2,0,0
hsa-miR-548ar-5p,0,0,0,0,0,0,0,0,0
hsa-miR-548as-3p,0,0,0,0,0,0,0,0,0
hsa-miR-548as-5p,0,0,0,0,0,0,0,0,0
hsa-miR-548at-3p,0,0,0,1,0,0,0,0,0
hsa-miR-548at-5p,0,0,1,0,0,0,0,0,0
hsa-miR-548au-3p,0,0,0,0,0,0,0,0,0
hsa-miR-548au-5p,0,0,0,0,0,0,0,0,0
hsa-miR-548av-3p,0,0,0,0,0,0,0,0,0
hsa-miR-548av-5p,0,0,0,0,0,0,0,0,0
hsa-miR-548aw,0,0,0,0,0,0,0,0,0
hsa-miR-548ax,0,0,0,0,0,0,0,0,0
hsa-miR-548ay-3p,0,2,0,0,0,8,7,2,0
hsa-miR-548ay-5p,0,0,0,0,0,0,0,0,0
hsa-miR-548az-3p,0,0,0,0,0,0,0,0,0
hsa-miR-548az-5p,0,1,0,0,1,0,0,0,0
hsa-miR-548b-3p,0,0,0,0,0,0,0,0,0
hsa-miR-548b-5p,0,0,2,0,0,0,0,0,0
hsa-miR-548ba,0,0,0,0,0,0,0,0,0
hsa-miR-548c-3p,0,0,0,0,0,0,0,0,0
hsa-miR-548c-5p,0,0,0,0,0,0,0,0,0
hsa-miR-548d-3p,0,0,0,0,0,0,0,0,0
hsa-miR-548d-5p,0,0,0,0,0,0,0,0,0
hsa-miR-548e-3p,11,0,14,10,28,1,6,3,0
hsa-miR-548e-5p,0,0,0,0,0,0,0,0,0
hsa-miR-548f-3p,0,0,0,0,0,0,0,0,0
hsa-miR-548f-5p,0,0,0,0,0,0,0,0,0
hsa-miR-548g-3p,0,0,0,0,0,0,0,0,0
hsa-miR-548g-5p,0,0,0,0,0,0,0,0,0
hsa-miR-548h-3p,0,0,0,0,0,0,0,0,0
hsa-miR-548h-5p,0,0,0,0,0,0,0,0,0
hsa-miR-548i,0,0,0,0,0,0,0,0,0
hsa-miR-548j-3p,3,0,2,1,10,0,0,2,0
hsa-miR-548j-5p,50,23,14,21,24,24,3,2,20
hsa-miR-548k,11,6,9,0,4,0,4,0,0
hsa-miR-548l,1,3,0,3,8,0,2,5,12
hsa-miR-548m,0,0,0,0,0,0,0,0,0
hsa-miR-548n,4,0,0,3,2,0,0,0,0
hsa-miR-548o-3p,87,37,85,54,108,55,33,19,34
hsa-miR-548o-5p,0,0,0,0,0,0,0,0,0
hsa-miR-548p,0,0,0,0,0,0,0,0,0
hsa-miR-548q,2,3,0,0,0,0,0,1,0
hsa-miR-548s,0,0,0,0,0,0,0,0,0
hsa-miR-548t-3p,0,0,0,0,0,0,0,0,0
hsa-miR-548t-5p,0,1,0,0,0,0,4,0,0
hsa-miR-548u,2,0,4,0,7,0,0,0,0
hsa-miR-548v,0,0,0,0,0,0,0,0,0
hsa-miR-548w,0,0,0,0,0,0,0,0,0
hsa-miR-548x-3p,0,0,0,0,0,0,0,0,0
hsa-miR-548x-5p,0,0,0,0,0,0,0,0,0
hsa-miR-548y,0,0,0,0,0,0,0,0,0
hsa-miR-548z,0,0,0,0,0,0,0,0,0
hsa-miR-549a,0,2,0,0,0,0,0,0,0
hsa-miR-550a-3-5p,17,37,60,7,8,82,58,27,33
hsa-miR-550a-3p,0,0,0,0,0,4,0,0,0
hsa-miR-550a-5p,107,126,201,44,41,287,261,103,171
hsa-miR-550b-2-5p,2,0,0,0,0,0,0,0,1
hsa-miR-550b-3p,0,0,0,0,0,0,0,0,0
hsa-miR-551a,1,1,2,2,0,1,0,0,0
hsa-miR-551b-3p,0,0,0,0,0,0,0,0,0
hsa-miR-551b-5p,0,0,3,0,1,0,0,0,0
hsa-miR-552-3p,2,1,0,1,5,0,0,0,0
hsa-miR-552-5p,0,0,0,1,0,0,0,0,0
hsa-miR-553,0,0,0,0,0,0,0,0,0
hsa-miR-554,0,0,0,0,0,0,0,0,0
hsa-miR-555,0,0,0,0,0,0,0,0,0
hsa-miR-556-3p,0,0,0,0,2,0,0,0,0
hsa-miR-556-5p,2,1,0,0,9,0,0,0,0
hsa-miR-557,0,0,0,0,0,0,0,0,0
hsa-miR-558,0,0,0,0,0,0,0,0,0
hsa-miR-559,0,0,0,0,0,0,0,0,0
hsa-miR-561-3p,0,0,0,0,0,0,0,0,0
hsa-miR-561-5p,0,2,1,1,0,0,2,0,3
hsa-miR-562,0,0,0,0,0,0,0,0,0
hsa-miR-563,0,0,0,0,0,0,0,0,0
hsa-miR-564,0,0,0,0,0,0,0,0,0
hsa-miR-566,0,0,0,0,0,0,0,0,0
hsa-miR-567,0,0,0,0,0,0,0,0,0
hsa-miR-568,0,0,0,0,0,0,0,0,0
hsa-miR-569,0,0,0,0,0,0,0,0,0
hsa-miR-570-3p,2,0,0,0,0,0,5,0,0
hsa-miR-570-5p,0,0,0,0,0,0,0,0,0
hsa-miR-571,0,0,0,0,0,0,0,0,0
hsa-miR-572,0,0,0,0,0,0,0,0,0
hsa-miR-573,0,0,0,0,0,0,0,0,0
hsa-miR-574-3p,47,42,29,22,44,44,39,36,23
hsa-miR-574-5p,908,727,1146,421,534,979,642,430,704
hsa-miR-575,0,0,0,0,0,0,0,0,0
hsa-miR-576-3p,34,51,164,30,38,36,49,21,63
hsa-miR-576-5p,17,27,81,11,24,42,36,25,6
hsa-miR-577,0,0,0,0,0,8,0,0,3
hsa-miR-578,0,0,0,0,0,0,0,0,0
hsa-miR-579-3p,0,0,6,0,0,0,0,0,0
hsa-miR-579-5p,2,0,5,2,7,5,14,0,2
hsa-miR-580-3p,0,0,0,1,0,0,0,0,0
hsa-miR-580-5p,0,0,0,0,0,0,0,0,0
hsa-miR-581,1,0,23,3,9,4,8,13,11
hsa-miR-582-3p,36,40,25,15,22,60,9,27,12
hsa-miR-582-5p,0,0,0,0,0,0,0,0,0
hsa-miR-583,0,0,0,0,0,0,0,0,0
hsa-miR-584-3p,0,0,0,0,0,0,0,0,0
hsa-miR-584-5p,3630,1807,2377,1618,2449,2026,1736,1322,1768
hsa-miR-585-3p,0,0,0,0,0,0,0,0,0
hsa-miR-585-5p,0,5,0,0,0,0,0,0,0
hsa-miR-586,0,0,0,0,0,0,0,0,0
hsa-miR-587,0,0,0,0,0,0,0,0,0
hsa-miR-588,0,0,0,0,0,0,0,0,0
hsa-miR-589-3p,0,0,3,0,0,0,0,1,0
hsa-miR-589-5p,192,67,92,79,121,68,62,42,106
hsa-miR-590-3p,5,0,0,0,6,0,0,0,0
hsa-miR-590-5p,0,0,0,0,0,0,0,0,0
hsa-miR-591,0,0,0,0,0,0,0,0,0
hsa-miR-592,0,0,0,0,2,0,0,0,0
hsa-miR-593-3p,0,0,0,0,0,0,0,0,0
hsa-miR-593-5p,0,0,0,0,0,0,0,0,0
hsa-miR-595,0,0,0,0,0,0,0,0,0
hsa-miR-596,0,0,0,0,0,0,0,0,0
hsa-miR-597-3p,9,2,1,2,1,4,12,0,7
hsa-miR-597-5p,0,0,0,0,0,0,0,0,0
hsa-miR-598-3p,28,27,39,13,35,40,34,15,10
hsa-miR-598-5p,0,0,0,2,0,0,0,0,0
hsa-miR-599,0,0,0,0,0,0,0,0,0
hsa-miR-600,0,0,0,0,0,9,0,0,0
hsa-miR-601,0,0,0,0,0,0,0,0,0
hsa-miR-602,0,0,0,0,0,0,2,0,0
hsa-miR-603,0,0,0,0,0,0,0,0,0
hsa-miR-604,0,0,0,0,0,0,0,0,0
hsa-miR-605-3p,7,3,3,4,10,0,1,0,0
hsa-miR-605-5p,0,2,0,2,0,0,0,0,0
hsa-miR-606,0,0,0,0,0,0,0,0,0
hsa-miR-607,0,0,0,0,0,0,3,0,0
hsa-miR-608,0,0,0,0,0,0,0,0,0
hsa-miR-609,0,0,0,0,0,0,0,0,0
hsa-miR-610,2,0,0,0,0,0,0,0,0
hsa-miR-611,0,0,0,0,0,0,0,0,0
hsa-miR-612,1,0,0,0,0,0,0,0,0
hsa-miR-613,0,0,0,0,0,0,0,0,0
hsa-miR-614,0,0,0,0,0,0,0,0,0
hsa-miR-615-3p,7,18,76,9,6,26,32,30,59
hsa-miR-615-5p,0,0,0,0,0,0,0,0,0
hsa-miR-616-3p,0,6,6,0,0,0,0,1,0
hsa-miR-616-5p,3,0,0,0,1,1,0,1,0
hsa-miR-617,0,0,0,0,0,0,0,0,0
hsa-miR-618,5,6,1,4,2,3,0,2,0
hsa-miR-619-3p,0,0,0,0,0,0,0,0,0
hsa-miR-619-5p,1,2,0,0,0,1,0,2,0
hsa-miR-620,0,0,0,0,0,0,0,0,0
hsa-miR-621,0,0,0,0,0,0,0,0,0
hsa-miR-622,0,0,1,0,0,0,0,0,0
hsa-miR-623,0,0,0,0,0,0,0,0,0
hsa-miR-624-3p,0,0,0,0,0,0,0,0,0
hsa-miR-624-5p,4,7,9,0,5,0,0,0,0
hsa-miR-625-3p,623,176,420,198,323,290,305,259,303
hsa-miR-625-5p,10,11,16,4,6,11,5,2,3
hsa-miR-626,0,0,0,0,0,0,0,0,0
hsa-miR-627-3p,1,1,3,0,0,0,0,0,0
hsa-miR-627-5p,2,0,5,0,0,2,7,0,0
hsa-miR-628-3p,178,74,112,70,93,101,50,38,96
hsa-miR-628-5p,22,5,15,5,16,0,12,0,0
hsa-miR-629-3p,0,0,0,0,0,0,0,2,2
hsa-miR-629-5p,1879,3588,4981,795,982,3735,2904,1634,2281
hsa-miR-630,0,0,0,0,0,0,0,0,0
hsa-miR-631,0,0,0,0,0,0,0,0,0
hsa-miR-632,0,0,0,0,0,0,0,0,0
hsa-miR-633,0,0,0,0,0,0,0,0,0
hsa-miR-634,0,0,0,0,0,0,0,0,0
hsa-miR-635,0,0,0,0,0,0,0,0,0
hsa-miR-636,7,9,8,2,1,19,16,32,32
hsa-miR-637,0,0,0,0,0,0,0,0,0
hsa-miR-638,0,0,2,0,0,0,0,0,0
hsa-miR-639,0,0,0,0,0,0,0,0,0
hsa-miR-640,0,0,0,0,0,0,0,0,0
hsa-miR-641,58,0,18,17,19,2,1,6,24
hsa-miR-642a-3p,11,43,61,4,3,43,18,26,74
hsa-miR-642a-5p,0,0,0,0,0,0,0,0,0
hsa-miR-642b-3p,0,0,0,0,0,0,0,0,0
hsa-miR-642b-5p,0,0,0,0,0,0,0,0,0
hsa-miR-643,0,3,0,0,0,0,0,0,0
hsa-miR-644a,0,0,0,0,0,0,0,0,0
hsa-miR-645,0,0,0,0,0,0,0,0,0
hsa-miR-646,0,0,0,0,0,0,0,0,0
hsa-miR-647,0,0,0,0,0,0,0,0,0
hsa-miR-648,0,0,0,0,0,0,0,0,0
hsa-miR-649,0,0,0,0,0,0,0,0,0
hsa-miR-650,0,0,0,0,0,0,0,0,0
hsa-miR-651-3p,0,0,0,0,0,0,0,0,0
hsa-miR-651-5p,19,19,82,16,46,24,16,4,21
hsa-miR-652-3p,367,193,257,177,371,207,160,163,118
hsa-miR-652-5p,0,0,0,0,0,0,0,0,0
hsa-miR-653-3p,0,0,0,0,0,0,0,0,0
hsa-miR-653-5p,0,0,0,0,0,0,0,0,0
hsa-miR-654-3p,151,154,242,121,360,17,26,57,186
hsa-miR-654-5p,145,120,152,101,266,35,41,52,170
hsa-miR-655-3p,0,0,0,0,2,0,0,0,0
hsa-miR-655-5p,0,0,0,0,0,0,0,0,0
hsa-miR-656-3p,0,0,0,0,7,0,0,1,0
hsa-miR-656-5p,0,0,0,0,0,0,0,0,0
hsa-miR-657,0,0,0,0,0,0,0,0,0
hsa-miR-658,0,0,0,0,0,0,0,0,0
hsa-miR-659-3p,0,0,0,0,0,0,0,0,0
hsa-miR-659-5p,34,17,21,3,34,42,31,13,41
hsa-miR-660-3p,0,3,2,1,0,0,0,1,0
hsa-miR-660-5p,49,104,168,25,72,90,54,58,60
hsa-miR-661,0,0,0,0,0,0,0,5,0
hsa-miR-662,0,0,0,0,0,0,0,0,0
hsa-miR-663a,0,0,0,0,0,0,0,0,0
hsa-miR-663b,0,0,0,0,0,0,0,0,0
hsa-miR-664a-3p,14,0,6,5,4,2,9,7,8
hsa-miR-664a-5p,169,274,239,128,180,238,179,190,198
hsa-miR-664b-3p,0,0,0,0,0,7,0,0,0
hsa-miR-664b-5p,20,18,36,16,12,15,27,21,40
hsa-miR-665,1,0,0,0,0,0,0,0,0
hsa-miR-668-3p,3,1,0,0,4,0,0,0,0
hsa-miR-668-5p,0,0,0,0,0,0,0,0,0
hsa-miR-670-3p,0,0,0,0,0,0,0,0,0
hsa-miR-670-5p,0,0,0,0,0,0,0,0,0
hsa-miR-671-3p,482,81,180,209,167,141,66,106,231
hsa-miR-671-5p,3,0,0,3,1,4,2,4,0
hsa-miR-675-3p,2,6,4,2,0,8,0,0,1
hsa-miR-675-5p,0,0,2,0,0,4,0,0,0
hsa-miR-676-3p,0,2,4,1,0,0,0,2,1
hsa-miR-676-5p,0,0,0,0,0,0,0,0,0
hsa-miR-708-3p,0,28,39,5,7,13,18,2,3
hsa-miR-708-5p,3,0,0,0,0,0,0,0,0
hsa-miR-711,0,0,0,0,0,0,0,0,0
hsa-miR-718,0,0,0,0,0,0,0,0,0
hsa-miR-744-3p,3,0,0,1,2,0,0,0,0
hsa-miR-744-5p,9044,2325,2355,4100,4669,2530,1734,1987,3096
hsa-miR-758-3p,4,1,16,6,14,6,0,0,10
hsa-miR-758-5p,0,0,0,0,0,0,0,0,0
hsa-miR-759,0,0,0,0,0,0,0,0,0
hsa-miR-760,221,86,177,105,142,86,83,104,107
hsa-miR-761,0,0,0,0,0,0,0,0,0
hsa-miR-762,0,0,0,0,0,0,0,0,0
hsa-miR-764,0,0,0,0,0,0,0,0,0
hsa-miR-765,0,2,0,0,0,0,1,0,0
hsa-miR-766-3p,11,0,0,9,11,5,1,5,0
hsa-miR-766-5p,131,39,53,54,81,29,23,18,37
hsa-miR-767-3p,0,0,0,0,0,0,0,0,0
hsa-miR-767-5p,0,0,3,0,0,0,0,0,0
hsa-miR-769-3p,0,0,4,0,0,5,0,0,1
hsa-miR-769-5p,240,183,168,117,150,104,63,107,95
hsa-miR-770-5p,0,0,0,0,0,0,0,0,0
hsa-miR-802,0,0,0,0,0,0,0,0,0
hsa-miR-873-3p,1,7,5,2,3,3,1,3,0
hsa-miR-873-5p,0,1,5,0,0,3,0,0,2
hsa-miR-874-3p,45,99,67,30,37,64,42,38,25
hsa-miR-874-5p,0,0,0,0,0,0,0,0,0
hsa-miR-875-3p,0,0,0,0,0,0,0,0,0
hsa-miR-875-5p,0,0,0,0,0,0,0,0,0
hsa-miR-876-3p,0,1,0,0,0,0,0,0,0
hsa-miR-876-5p,0,0,0,0,0,0,0,0,0
hsa-miR-877-3p,0,0,0,0,0,0,0,0,0
hsa-miR-877-5p,40,18,48,22,18,46,18,29,32
hsa-miR-885-3p,21,13,49,3,2,19,27,31,30
hsa-miR-885-5p,5,2,4,1,0,3,3,0,16
hsa-miR-887-3p,0,0,0,1,0,3,0,2,0
hsa-miR-887-5p,1,0,0,0,0,5,0,0,0
hsa-miR-888-3p,0,0,0,0,0,0,0,0,0
